521,2020/5/5
data,date
543,2020/5/6
data,date
551,2020/5/7
data,date
600,2020/5/8
data,date
613,2020/5/9
data,date
621,2020/5/10
data,date
643,2020/5/11
data,date
668,2020/5/12
data,date
687,2020/5/13
data,date
710,2020/5/14
data,date
725,2020/5/15
data,date
744,2020/5/16
data,date
749,2020/5/17
data,date
763,2020/5/18
data,date
771,2020/5/19
data,date
777,2020/5/20
data,date
796,2020/5/21
data,date
808,2020/5/22
data,date
820,2020/5/23
data,date
830,2020/5/24
data,date
846,2020/5/25
data,date
858,2020/5/26
data,date
867,2020/5/27
data,date
874,2020/5/28
data,date
886,2020/5/29
data,date
891,2020/5/30
data,date
892,2020/5/31
data,date
894,2020/6/1
data,date
900,2020/6/2
data,date
903,2020/6/3
data,date
907,2020/6/4
data,date
914,2020/6/5
data,date
916,2020/6/6
data,date
916,2020/6/7
data,date
916,2020/6/8
data,date
919,2020/6/9
data,date
920,2020/6/10
data,date
922,2020/6/11
data,date
924,2020/6/12
data,date
925,2020/6/13
data,date
925,2020/6/14
data,date
927,2020/6/15
data,date
931,2020/6/16
data,date
935,2020/6/17
data,date
935,2020/6/18
data,date
952,2020/6/19
data,date
953,2020/6/20
data,date
953,2020/6/21
data,date
955,2020/6/22
data,date
963,2020/6/23
data,date
967,2020/6/24
data,date
968,2020/6/25
data,date
970,2020/6/26
data,date
970,2020/6/27
data,date
971,2020/6/28
data,date
971,2020/6/29
data,date
973,2020/6/30
data,date
974,2020/7/1
data,date
975,2020/7/2
data,date
976,2020/7/3
data,date
976,2020/7/4
data,date
976,2020/7/5
data,date
977,2020/7/6
data,date
979,2020/7/7
data,date
980,2020/7/8
data,date
981,2020/7/9
data,date
981,2020/7/10
data,date
981,2020/7/11
data,date
981,2020/7/12
data,date
981,2020/7/13
data,date
983,2020/7/14
data,date
984,2020/7/15
data,date
984,2020/7/16
data,date
984,2020/7/17
data,date
984,2020/7/18
data,date
984,2020/7/19
data,date
987,2020/7/20
data,date
988,2020/7/21
data,date
989,2020/7/22
data,date
991,2020/7/23
data,date
992,2020/7/24
data,date
995,2020/7/25
data,date
995,2020/7/26
data,date
997,2020/7/27
data,date
1000,2020/7/28
data,date
1003,2020/7/29
data,date
1005,2020/7/30
data,date
1010,2020/7/31
data,date
1010,2020/8/1
data,date
1011,2020/8/2
data,date
1015,2020/8/3
data,date
1021,2020/8/4
data,date
1025,2020/8/5
data,date
1032,2020/8/6
data,date
1038,2020/8/7
data,date
1039,2020/8/8
data,date
1046,2020/8/9
data,date
1051,2020/8/10
data,date
1058,2020/8/11
data,date
1062,2020/8/12
data,date
1072,2020/8/13
data,date
1084,2020/8/14
data,date
1087,2020/8/15
data,date
1098,2020/8/16
data,date
1114,2020/8/17
data,date
1127,2020/8/18
data,date
1143,2020/8/19
data,date
1154,2020/8/20
data,date
1168,2020/8/21
data,date
1175,2020/8/22
data,date
1180,2020/8/23
data,date
1195,2020/8/24
data,date
1208,2020/8/25
data,date
1225,2020/8/26
data,date
1237,2020/8/27
data,date
1254,2020/8/28
data,date
1263,2020/8/29
data,date
1278,2020/8/30
data,date
1295,2020/8/31
data,date
1306,2020/9/1
data,date
1318,2020/9/2
data,date
1329,2020/9/3
data,date
1348,2020/9/4
data,date
1356,2020/9/5
data,date
1362,2020/9/6
data,date
1376,2020/9/7
data,date
1392,2020/9/8
data,date
1405,2020/9/9
data,date
1411,2020/9/10
data,date
1422,2020/9/11
data,date
1438,2020/9/12
data,date
1441,2020/9/13
data,date
1450,2020/9/14
data,date
1460,2020/9/15
data,date
1472,2020/9/16
data,date
1481,2020/9/17
data,date
1494,2020/9/18
data,date
1499,2020/9/19
data,date
1499,2020/9/20
data,date
1507,2020/9/21
data,date
1511,2020/9/22
data,date
1519,2020/9/23
data,date
1531,2020/9/24
data,date
1539,2020/9/25
data,date
1544,2020/9/26
data,date
1547,2020/9/27
data,date
1556,2020/9/28
data,date
1563,2020/9/29
data,date
1570,2020/9/30
data,date
1577,2020/10/1
data,date
1589,2020/10/2
data,date
1596,2020/10/3
data,date
1598,2020/10/4
data,date
1601,2020/10/5
data,date
1604,2020/10/6
data,date
1612,2020/10/7
data,date
1615,2020/10/8
data,date
1623,2020/10/9
data,date
1626,2020/10/10
data,date
1628,2020/10/11
data,date
1633,2020/10/12
data,date
1637,2020/10/13
data,date
1645,2020/10/14
data,date
1649,2020/10/15
data,date
1660,2020/10/16
data,date
1669,2020/10/17
data,date
1673,2020/10/18
data,date
1675,2020/10/19
data,date
1678,2020/10/20
data,date
1684,2020/10/21
data,date
1693,2020/10/22
data,date
1705,2020/10/23
data,date
1710,2020/10/24
data,date
1717,2020/10/25
data,date
1724,2020/10/26
data,date
1729,2020/10/27
data,date
1732,2020/10/28
data,date
1743,2020/10/29
data,date
1754,2020/10/30
data,date
1765,2020/10/31
data,date
1773,2020/11/1
data,date
1779,2020/11/2
data,date
1785,2020/11/3
data,date
1793,2020/11/4
data,date
1805,2020/11/5
data,date
1808,2020/11/6
data,date
1811,2020/11/7
data,date
1817,2020/11/8
data,date
1828,2020/11/9
data,date
1840,2020/11/10
data,date
1850,2020/11/11
data,date
1866,2020/11/12
data,date
1879,2020/11/13
data,date
1882,2020/11/14
data,date
1884,2020/11/15
data,date
1902,2020/11/16
data,date
1912,2020/11/17
data,date
1921,2020/11/18
data,date
1942,2020/11/19
data,date
1962,2020/11/20
data,date
1973,2020/11/21
data,date
1980,2020/11/22
data,date
1988,2020/11/23
data,date
2000,2020/11/24
data,date
2021,2020/11/25
data,date
2050,2020/11/26
data,date
2073,2020/11/27
data,date
2105,2020/11/28
data,date
2118,2020/11/29
data,date
2138,2020/11/30
data,date
2171,2020/12/1
data,date
2212,2020/12/2
data,date
2239,2020/12/3
data,date
2282,2020/12/4
data,date
2314,2020/12/5
data,date
2334,2020/12/6
data,date
2381,2020/12/7
data,date
2419,2020/12/8
data,date
2464,2020/12/9
data,date
2501,2020/12/10
data,date
2533,2020/12/11
data,date
2561,2020/12/12
data,date
2584,2020/12/13
data,date
2642,2020/12/14
data,date
2687,2020/12/15
data,date
2738,2020/12/16
data,date
2782,2020/12/17
data,date
2827,2020/12/18
data,date
2872,2020/12/19
data,date
2899,2020/12/20
data,date
2943,2020/12/21
data,date
2993,2020/12/22
data,date
3049,2020/12/23
data,date
3104,2020/12/24
data,date
3154,2020/12/25
data,date
3212,2020/12/26
data,date
3251,2020/12/27
data,date
3305,2020/12/28
data,date
3348,2020/12/29
data,date
3413,2020/12/30
data,date
3459,2020/12/31
data,date
3513,2021/1/1
data,date
3547,2021/1/2
data,date
3598,2021/1/3
data,date
3654,2021/1/4
data,date
3718,2021/1/5
data,date
3790,2021/1/6
data,date
3856,2021/1/7
data,date
3931,2021/1/8
data,date
3995,2021/1/9
data,date
4043,2021/1/10
data,date
4093,2021/1/11
data,date
4144,2021/1/12
data,date
4232,2021/1/13
data,date
4314,2021/1/14
data,date
4379,2021/1/15
data,date
4445,2021/1/16
data,date
4500,2021/1/17
data,date
4547,2021/1/18
data,date
4646,2021/1/19
data,date
4742,2021/1/20
data,date
4829,2021/1/21
data,date
4934,2021/1/22
data,date
5018,2021/1/23
data,date
5083,2021/1/24
data,date
5157,2021/1/25
data,date
5251,2021/1/26
data,date
5360,2021/1/27
data,date
5450,2021/1/28
data,date
5544,2021/1/29
data,date
5652,2021/1/30
data,date
5720,2021/1/31
data,date
5792,2021/2/1
data,date
5910,2021/2/2
data,date
6018,2021/2/3
data,date
6133,2021/2/4
data,date
6241,2021/2/5
data,date
6336,2021/2/6
data,date
6393,2021/2/7
data,date
6474,2021/2/8
data,date
6555,2021/2/9
data,date
6676,2021/2/10
data,date
6772,2021/2/11
data,date
6847,2021/2/12
data,date
6910,2021/2/13
data,date
6950,2021/2/14
data,date
7013,2021/2/15
data,date
7100,2021/2/16
data,date
7194,2021/2/17
data,date
7272,2021/2/18
data,date
7331,2021/2/19
data,date
7415,2021/2/20
data,date
7472,2021/2/21
data,date
7527,2021/2/22
data,date
7582,2021/2/23
data,date
7645,2021/2/24
data,date
7720,2021/2/25
data,date
7805,2021/2/26
data,date
7858,2021/2/27
data,date
7885,2021/2/28
data,date
7931,2021/3/1
data,date
7982,2021/3/2
data,date
8050,2021/3/3
data,date
8117,2021/3/4
data,date
8176,2021/3/5
data,date
8225,2021/3/6
data,date
8251,2021/3/7
data,date
8297,2021/3/8
data,date
8351,2021/3/9
data,date
8400,2021/3/10
data,date
8449,2021/3/11
data,date
8507,2021/3/12
data,date
8558,2021/3/13
data,date
8588,2021/3/14
data,date
8620,2021/3/15
data,date
8676,2021/3/16
data,date
8715,2021/3/17
data,date
8756,2021/3/18
data,date
8788,2021/3/19
data,date
8810,2021/3/20
data,date
8833,2021/3/21
data,date
8859,2021/3/22
data,date
8906,2021/3/23
data,date
8936,2021/3/24
data,date
8965,2021/3/25
data,date
8996,2021/3/26
data,date
9028,2021/3/27
data,date
9058,2021/3/28
data,date
9083,2021/3/29
data,date
9110,2021/3/30
data,date
9159,2021/3/31
data,date
9182,2021/4/1
data,date
9210,2021/4/2
data,date
9218,2021/4/3
data,date
9228,2021/4/4
data,date
9246,2021/4/5
data,date
9276,2021/4/6
data,date
9298,2021/4/7
data,date
9331,2021/4/8
data,date
9350,2021/4/9
data,date
9379,2021/4/10
data,date
9397,2021/4/11
data,date
9422,2021/4/12
data,date
9466,2021/4/13
data,date
9497,2021/4/14
data,date
9535,2021/4/15
data,date
9581,2021/4/16
data,date
9619,2021/4/17
data,date
9638,2021/4/18
data,date
9668,2021/4/19
data,date
9707,2021/4/20
data,date
9761,2021/4/21
data,date
9797,2021/4/22
data,date
9851,2021/4/23
data,date
9910,2021/4/24
data,date
9969,2021/4/25
data,date
10001,2021/4/26
data,date
10052,2021/4/27
data,date
10104,2021/4/28
data,date
10191,2021/4/29
data,date
10226,2021/4/30
data,date
10293,2021/5/1
data,date
10358,2021/5/2
data,date
10416,2021/5/3
data,date
10466,2021/5/4
data,date
10513,2021/5/5
data,date
10585,2021/5/6
data,date
10698,2021/5/7
data,date
10819,2021/5/8
data,date
10872,2021/5/9
data,date
10937,2021/5/10
data,date
11060,2021/5/11
data,date
11161,2021/5/12
data,date
11251,2021/5/13
data,date
11361,2021/5/14
data,date
11459,2021/5/15
data,date
11504,2021/5/16
data,date
11587,2021/5/17
data,date
11847,2021/5/18
data,date
11936,2021/5/19
data,date
12042,2021/5/20
data,date
12148,2021/5/21
data,date
12232,2021/5/22
data,date
12308,2021/5/23
data,date
12394,2021/5/24
data,date
12493,2021/5/25
data,date
12597,2021/5/26
data,date
12710,2021/5/27
data,date
12815,2021/5/28
data,date
12916,2021/5/29
data,date
12963,2021/5/30
data,date
13044,2021/5/31
data,date
13136,2021/6/1
data,date
13241,2021/6/2
data,date
13360,2021/6/3
data,date
13445,2021/6/4
data,date
13519,2021/6/5
data,date
13570,2021/6/6
data,date
13641,2021/6/7
data,date
13739,2021/6/8
data,date
13837,2021/6/9
data,date
13903,2021/6/10
data,date
13972,2021/6/11
data,date
14028,2021/6/12
data,date
14066,2021/6/13
data,date
14121,2021/6/14
data,date
14182,2021/6/15
data,date
14264,2021/6/16
data,date
14315,2021/6/17
data,date
14360,2021/6/18
data,date
14395,2021/6/19
data,date
14418,2021/6/20
data,date
14449,2021/6/21
data,date
14491,2021/6/22
data,date
14548,2021/6/23
data,date
14593,2021/6/24
data,date
14621,2021/6/25
data,date
14652,2021/6/26
data,date
14664,2021/6/27
data,date
14700,2021/6/28
data,date
14735,2021/6/29
data,date
14776,2021/6/30
data,date
14797,2021/7/1
data,date
14819,2021/7/2
data,date
14837,2021/7/3
data,date
14843,2021/7/4
data,date
14857,2021/7/5
data,date
14879,2021/7/6
data,date
14892,2021/7/7
data,date
14912,2021/7/8
data,date
14928,2021/7/9
data,date
14943,2021/7/10
data,date
14950,2021/7/11
data,date
14954,2021/7/12
data,date
14966,2021/7/13
data,date
14985,2021/7/14
data,date
15009,2021/7/15
data,date
15022,2021/7/16
data,date
15035,2021/7/17
data,date
15043,2021/7/18
data,date
15055,2021/7/19
data,date
15074,2021/7/20
data,date
15092,2021/7/21
data,date
15101,2021/7/22
data,date
15110,2021/7/23
data,date
15118,2021/7/24
data,date
15123,2021/7/25
data,date
15131,2021/7/26
data,date
15145,2021/7/27
